1,Team,Game,Date,Home,Opponent,WINorLOSS,TeamPoints,OpponentPoints,FieldGoals,FieldGoalsAttempted,FieldGoals.,X3PointShots,X3PointShotsAttempted,X3PointShots.,FreeThrows,FreeThrowsAttempted,FreeThrows.,OffRebounds,TotalRebounds,Assists,Steals,Blocks,Turnovers,TotalFouls,Opp.FieldGoals,Opp.FieldGoalsAttempted,Opp.FieldGoals.,Opp.3PointShots,Opp.3PointShotsAttempted,Opp.3PointShots.,Opp.FreeThrows,Opp.FreeThrowsAttempted,Opp.FreeThrows.,Opp.OffRebounds,Opp.TotalRebounds,Opp.Assists,Opp.Steals,Opp.Blocks,Opp.Turnovers,Opp.TotalFouls
533,CHO,52,2/10/2015,Home,DET,L,78,106,29,81,0.358,9,24,0.375,11,14,0.786,10,38,21,1,9,11,21,37,83,0.446,5,19,0.263,27,30,0.9,10,48,21,8,5,8,18
543,CHO,53,2/21/2015,Home,OKC,L,103,110,40,93,0.43,7,24,0.292,16,20,0.8,11,41,28,9,10,9,18,42,95,0.442,5,18,0.278,21,26,0.808,19,59,21,7,7,14,20
553,CHO,54,2/22/2015,Away,DAL,L,81,92,33,90,0.367,6,19,0.316,9,13,0.692,13,47,20,10,2,14,20,36,78,0.462,5,18,0.278,15,19,0.789,6,49,20,7,6,15,16
563,CHO,55,2/25/2015,Away,CHI,W,98,86,39,84,0.464,4,14,0.286,16,21,0.762,12,45,16,8,3,9,18,34,77,0.442,3,17,0.176,15,23,0.652,9,43,24,6,11,12,17
573,CHO,56,2/27/2015,Away,BOS,L,98,106,37,82,0.451,10,21,0.476,14,17,0.824,8,48,19,8,7,16,18,40,96,0.417,14,35,0.4,12,15,0.8,14,47,24,8,5,8,15
583,CHO,57,3/1/2015,Away,ORL,W,98,83,40,80,0.5,8,18,0.444,10,14,0.714,7,47,22,5,4,16,17,31,85,0.365,6,15,0.4,15,20,0.75,10,44,16,8,3,11,19
593,CHO,58,3/3/2015,Home,LAL,W,104,103,39,79,0.494,5,13,0.385,21,31,0.677,5,42,30,10,5,11,17,39,86,0.453,6,17,0.353,19,21,0.905,6,41,24,6,4,11,21
603,CHO,59,3/4/2015,Away,BRK,W,115,91,42,85,0.494,8,19,0.421,23,28,0.821,12,49,24,5,2,11,20,35,88,0.398,3,16,0.188,18,24,0.75,12,38,15,6,1,9,24
615,CHO,60,3/6/2015,Home,TOR,W,103,94,40,85,0.471,5,20,0.25,18,20,0.9,11,56,26,3,5,15,15,37,91,0.407,7,22,0.318,13,15,0.867,5,32,21,5,5,5,18
623,CHO,61,3/8/2015,Away,DET,W,108,101,41,79,0.519,6,17,0.353,20,23,0.87,4,39,32,6,5,9,20,39,89,0.438,3,14,0.214,20,25,0.8,13,42,21,8,3,10,16
633,CHO,62,3/9/2015,Home,WAS,L,69,95,25,77,0.325,4,22,0.182,15,20,0.75,8,37,13,4,8,15,11,44,85,0.518,2,14,0.143,5,5,1,8,49,21,10,4,13,19
